"Manage Feeds","Менеджер выгрузки товаров"
"Add Item","Добавить файл"
"Save","Сохранить"
"Delete","Удалить"
"Generate File","Сгенерировать файл"
"Upload File","Выгрузить файл"
"Save And Continue Edit","Сохранить и продолжить редактировать"
"Edit %s","Редактировать %s"
"Content Settings","Настройки содержимого"
"Content","Содержимое"
"equal","равен"
"not equal","не равен"
"greater than","больше чем"
"less than","меньше чем"
"greater than or equal to","больше чем или равен"
"less than or equal to","меньше чем или равен"
"like","подобен"
"not like","не подобен"
"FTP Settings","Настройки FTP"
"Enabled","Включен"
"Disabled","Отключен"
"Host Name","Имя Хоста"
"User Name","Имя пользователя"
"Password","Пароль"
"Path","Путь"
"Passive mode","Пассивный режим"
"Item information","Информация о файле"
"Name","Название"
"Access Url","Ссылка доступа"
"Filename","Название файла"
"Store","Магазин"
"Continue","Продолжить"
"Setings","Настройки"
"Feed Type","Формат файла"
"Feed Information","Информация о файле"
"Item information","Информация о файле"
"Filter Configuration","Настройки фильтра"
"ID","ID"
"Last Generated","Сгенерирован"
"FTP Status","Состояние FTP"
"Action","Действие"
"Edit","Редактировать"
"Generate File(s)","Сгенерировать файл(ы)"
"Upload File(s)","Выгрузить файл(ы)"
"Delete Feed(s)","Удалить файл(ы)"
"Are you sure?","Вы уверены?"
"Import Data","Импортировать данные"
"Import","Импортировать"
"Settings File","Настройки файла"
"Import Mapping","Импортировать поля"
"Feed Manager","Менеджер выгружаемых товаров"
"Empty or Invalid data file","Пустой или Некорректный файл с данными"
"Data successfully imported","Данные успешно выгружены"
"Unknown error","Неизвестная ошибка"
"Filename %s"" exists""","Файл с названием %s"" уже существует"""
"Data successfully saved","Данные успешно сохранены"
"Can’t save data","Не удалось сохранить данные"
"File %s"" is created""","Файл %s"" создан"""
"Can’t generate feed file ""%s""","Не удалось сгенерировать файл с данными ""%s"""
"%s - File %s"" was uploaded!""","%s - Файл %s"" был выгружен!"""
"%s - FTP disabled","%s - FTP отключено"
"%s - Can’t upload. Please, check your FTP Settings or Hosting Settings","%s - Не удалось выгрузить. Пожалуйста, проверьте настройки FTP или настройки хостинга"
"File %s"" was uploaded!""","Файл %s"" был выгружен!"""
"%s - Can’t upload. Please, check your FTP Settings or Hosting Settings","%s - Не удалось выгрузить. Пожалуйста, проверьте настройки FTP или настройки хостинга"
"File was generated!","Файл был сгенерирован!"
"Can’t generate feed file","Не удалось сгенерировать файл с данными"
"Fields Mapping","Настройка полей"
"Show Header","Показывать заголовок"
"Delimiter","Разделитель"
"Enclosure","Разделитель текста"
"Remove line break symbols","Удалить символы разрыва"
"This is the specific option that allows to remove line break symbols from a data feed.","Эта опция позволяет удалить символы разрыва строки из файла данных"
"Import Fields Settings","Импортировать поля"
"Export Fields Settings","Экспортировать поля"
"After you save a new feed for the first time the Import Fields Settings"" button will be available""","После того, как вы сохраните новый файл в первый раз кнопка “Импортировать поля” будет доступна"""
"After you save a new feed for the first time the Export Fields Settings"" button will be available""","После того, как вы сохраните новый файл в первый раз кнопка “Экспортировать поля” будет доступна"""
"Order","Порядок"
"Field Name","Название поля"
"Prefix","Префикс"
"Type","Тип"
"Value","Значение"
"Suffix","Суффикс"
"Output Type","Тип исходящего значения"
"Remove","Удалить"
"Default","По умолчанию"
"Integer","Целое"
"Float","С плавающей запятой"
"Striptags","Строка без тегов"
"Encode special chars","Кодирование спецсимволов"
"Decode special chars","Раскодирование спецсимволов"
"Delete Space","Удаление пробелов"
"Add New Row","Добавить новую строку"
"Products Filter Configuration","Настройка фильтра товаров"
"Attribute","Атрибут"
"Condition","Условие"
"Value","Значение"
"No active filters","Нет активных фильтров"
"Add Filter Row","Добавить фильтр"
"Import Mapping","Импортировать поля"
"Mapping File","Файл с полями"
"Import","Импортировать"
"e.g. ""Google Base"", ""Yahoo! Store""...","Пример: ""Google Base"", ""Yahoo! Store""..."
"e.g. ""productfeed.csv"", ""productfeed.xml""...","Пример: ""productfeed.csv"", ""productfeed.xml""..."
"e.g. ""ftp.domain.com""<br/>FTP Server uses port #21 by default. <br/>Use ""domain.com:portnumber"" to change the port.","Пример: ""ftp.domain.com""<br/>FTP сервер использует порт #21 по умолчанию. <br/>Используйте ""domain.com:номер порта"", чтобы изменить порт."
"e.g. ""/yourfolder""","Пример: ""/yourfolder"""
"Comma","Запятая"
"Tab","Табуляция"
"Colon","Двоеточие"
"Space","Пробел"
"Vertical pipe","Вертикальная линия"
"Semi-colon","Точка с запятой"
"Attribute Configuration","Настройки атрибута"
"Add Condition","Добавить условие"
"Static","Статический"
"Percent from value","Процент от значения"
"Add Condition","Добавить условие"
"Remove","Удалить"
"OR","ИЛИ"
"Condition","Условие"
"Output Value","Исходящее значение"
"Output Type","Тип исходящего значения"
"Action","Действие"
"Use Default Attribute","Использовать атрибут по умолчанию"
"Add New Value","Добавить новое значение"
"Manage Dynamic Attributes","Управление динамическими атрибутами"
"Add Dynamic Attribute","Добавить динамический атрибут"
"Dynamic Attribute Code","Код динамического атрибута"
"Attribute Information","Информация атрибута"
"Conditions and Values","Условия и значения"
"For internal use. Must be unique with no spaces","Для внутреннего использования. Должно быть уникальным без пробелов."
"e.g. ""Custom Price"", ""Google Category""...","Пример: ""Custom Price"", ""Google Category""..."
"Not Set"," Не установлено"
"Dynamic attribute was successfully saved","Динамический атрибут был успешно сохранён"
"Cannot upload file.","Не удалось выгрузить файлы."
"Cannot change dir.","Не удалось изменить директорию."
"Authenticate failure.","Аутентификация не удалась."
"Can’t connect to host.","Не удалось присоединиться к хосту."
"Cant open temp file","Не удалось открыть временный файл"
"Please Select"," Пожалуйста, выберите"
"Feeds","Выгрузка товаров"
"Last Uploaded","Выгружен"
"Advanced Settings","Продвинутые настройки"
"Number of Products","Количество товаров"
"Export Disabled and Out of stock Products","Экспортировать отключенные товары и товары, которых нет в наличии"
"Upload Settings","Настройки выгрузки фида"
"Available Upload Days","Доступные дни выгрузки"
"Sunday","Воскресенье"
"Monday","Понедельник"
"Tuesday","Вторник"
"Wednesday","Среда"
"Thursday","Четверг"
"Friday","Пятница"
"Saturday","Суббота"
"Set Upload Time from, hour","Установить время выгрузки с, час"
"Set Interval for Upload, hours","Установить интервал для выгрузки, часы"
"every 1 hour","каждый час"
"every 3 hours","каждые 3 часа"
"every 6 hours","каждые 6 часов"
"every 12 hours","каждые 12 часов"
"every 24 hours","каждые 24 часа"
"Yes","Да"
"No","Нет"
"Enable","Включить"
"Disable","Выключить"
